Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
NPL,2001-01-01,2001-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,74405.000000,A
NPL,2002-01-01,2002-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,79974.000000,A
NPL,2003-01-01,2003-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,82693.000000,A
NPL,2004-01-01,2004-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,86634.000000,A
NPL,2005-01-01,2005-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,85790.000000,A
NPL,2006-01-01,2006-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,90080.000000,A
NPL,2007-01-01,2007-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,110798.000000,A
NPL,2011-01-01,2011-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,284722.200000,A
NPL,2012-01-01,2012-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,293263.900000,A
NPL,2013-01-01,2013-12-31,149,'524,Nepal,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,298260.000000,A
